City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,80.56,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Chapeco,BR,78.55,few clouds,-27.0964,-52.6183,Golden Hotel
3,Jamestown,US,84.06,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
4,Port Alfred,ZA,65.07,overcast clouds,-33.5906,26.891,The Halyards Hotel
5,Hofn,IS,53.62,broken clouds,64.2539,-15.2082,Hótel Höfn
6,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
8,Talnakh,RU,67.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
9,Thompson,CA,55.56,overcast clouds,55.7435,-97.8558,Burntwood Hotel
10,Moose Factory,CA,73.4,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
13,Rzhev,RU,62.06,clear sky,56.2624,34.3282,Hostel Na Razina
14,Margate,GB,67.3,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
15,Jumla,NP,63.43,overcast clouds,29.2747,82.1838,Royal Garden Hotel
16,Rikitea,PF,72.37,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Zhigansk,RU,52.36,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
18,Kanigoro,ID,69.85,broken clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
22,Lebu,CL,53.92,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
23,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
25,Krasnyy Oktyabr,RU,62.49,clear sky,56.1167,38.8833,Priozernaya Hotel
26,Nikolskoye,RU,76.89,scattered clouds,59.7035,30.7861,Tourist House - Sablino
27,Mogadishu,SO,75.92,few clouds,2.0371,45.3438,Hotel Juba
30,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
31,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Sambava,MG,69.64,light rain,-14.2667,50.1667,Melrose
35,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Mar Del Plata,AR,51.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
37,Port Lincoln,AU,52.86,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
40,Saint-Augustin,CA,65.48,overcast clouds,51.226,-58.6502,
42,Kaya,BF,77.63,heavy intensity rain,13.0917,-1.0844,Maison de l'appelé
43,Hermanus,ZA,54.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
44,Hithadhoo,MV,81.52,overcast clouds,-0.6,73.0833,Scoop Guest House
45,New Norfolk,AU,50.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
46,Tura,IN,75.74,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
47,Lata,PT,75.31,few clouds,40.1629,-8.3327,Casa Maquia
48,Cape Town,ZA,58.26,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
49,Bredasdorp,ZA,55.15,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
50,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
51,Slyudyanka,RU,55.06,overcast clouds,51.6594,103.7061,Delight
52,Aklavik,CA,68.0,scattered clouds,68.2191,-135.0107,Aklavik Inn
53,Airai,TL,51.75,overcast clouds,-8.9266,125.4092,
54,Busselton,AU,58.82,few clouds,-33.65,115.3333,Observatory Guest House
55,Castro,BR,72.7,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
56,Hohhot,CN,57.49,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
57,Susanville,US,85.08,clear sky,40.4163,-120.653,Comfort Inn & Suites
58,Faya,SA,69.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
60,Sur,OM,88.02,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
61,Tulun,RU,57.99,overcast clouds,54.5611,100.5792,Квартира
62,Constitucion,CL,59.99,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
65,Kollam,IN,77.16,moderate rain,8.8833,76.6,The Raviz Ashtamudi
66,Touros,BR,78.6,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
67,Fortuna,US,62.92,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
69,Saldanha,ZA,57.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
72,Yellowknife,CA,66.72,broken clouds,62.456,-114.3525,The Explorer Hotel
73,Itoman,JP,84.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
75,Evensk,RU,57.58,clear sky,61.95,159.2333,
78,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
79,Bengkulu,ID,75.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Noormarkku,FI,73.18,light intensity shower rain,61.5927,21.8685,Ahlströmin Ruukki Noormarkku
82,Larap,PH,80.02,broken clouds,14.299,122.6504,Montemayor Cove
83,Strelka,RU,55.27,scattered clouds,58.0728,93.0344,"Gostinitsa ""Angara"""
84,Carnarvon,AU,63.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
86,Sitka,US,55.53,light rain,57.0531,-135.33,Westmark Sitka
88,Kruisfontein,ZA,50.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
89,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
90,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
91,Verkhnevilyuysk,RU,61.29,overcast clouds,63.4453,120.3167,Gostinitsa Mila
92,Nemuro,JP,59.09,light rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
93,Kodiak,US,54.91,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
94,Chapais,CA,74.98,broken clouds,49.7834,-74.8492,Hôtel Opémiska
95,Sao Filipe,CV,76.14,overcast clouds,14.8961,-24.4956,Hotel Xaguate
96,Morondava,MG,72.32,clear sky,-20.2833,44.2833,La Case Bambou
97,Atuona,PF,77.22,clear sky,-9.8,-139.0333,Villa Enata
98,Sirjan,IR,79.48,clear sky,29.452,55.6814,MAPNA Building
99,Aguimes,ES,74.03,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
100,Tuktoyaktuk,CA,68.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
102,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,Le four à pain
103,Saint John,CA,78.03,few clouds,45.2727,-66.0677,Delta Hotels by Marriott Saint John
104,Deloraine,AU,50.36,overcast clouds,-41.5333,146.6667,Mountain View Country Inn
105,Husavik,IS,51.46,broken clouds,66.0449,-17.3389,Bjarnabúð
106,Butaritari,KI,80.98,light rain,3.0707,172.7902,Isles Sunset Lodge
107,Inuvik,CA,74.41,broken clouds,68.3499,-133.7218,Nova Inn Inuvik
109,Ekhabi,RU,51.93,overcast clouds,53.5102,142.9671,
110,Grindavik,IS,55.87,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
111,Loreto,MX,78.98,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
113,College,US,54.46,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
114,Tual,ID,77.58,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
